Name,Street Address,County,Contact,Contact Info,Last Check-in,Next Check-in,Notes,Interest,Liquor Store,Bar
Saltwater Liquors,"9 Bayshore Plaza, Atlantic Highlands, NJ 07716",Monmouth,Punid,,6/18/2024,7/1/2024,"4/22 Punid wants 1 LH, 1 Swell, and 1 Skeleton Key. Those three sold really well but the Bloom, Vibrant, and Watcha have been sitting. Asked to get the Whatcha swapped out. 4/23 Offered to do a sampling instead of swapping our the beers, he said it was a waste of time for so few cases. 5/13- Punid wants to let some of the slow moving skus sell out before bringing more in. Said to stop by before memorial day weekend though. 5/21- Punid doesn't want to bring anything in until the slow SKUs are replaced or sell out. 6/17- Punid wants 2Lh, 1Czech, 1 Swell, 1 vibrant, and 2 swell 4packs to replace the whatchamalager",5,TRUE,FALSE
Casagrande On Main,"312 Main St #1014, Avon-By-The-Sea, NJ 07717",Monmouth,Jeffery,,6/18/2024,7/1/2024,"Jeffery would like 1 case of Czech. 5/21- They want 1 LH and 1 Czech. 5/30- Sold 2/4 Czech and 1/4 LH. 6/17-Sold out of both, Jefferey in tomorrow",5,TRUE,FALSE
Spirits Main Street,"580 N Main St, Barnegat, NJ 08005",Ocean,,,5/30/2024,7/1/2024,"They would like 1 LH, 1 Swell, and 1 Vibrant Delivered Fri. Call and ask to deliv thurs if cans are ready",5,TRUE,FALSE
Burkes Market,"536 Main Ave #534, Bay Head, NJ 08742",Ocean,,,6/13/2024,6/24/2024,"Ethan wants 1 LH, 1 Swell, and 1 Vibrant",5,TRUE,FALSE
Joe Canal's Brick,720 NJ-70,Ocean,,,6/18/2024,6/24/2024,"Owner would like 1 Swell, 1 Lil Choppy, and 1 Bloom. 5/30 Sold 4/6 Swell, 1/4 Choppy, and 0/6 Bloom. 6/17- Sold 5/6 Swell, 2/4 Choppy, and 0/6 Bloom. Owner is usually in on the weekends",5,TRUE,FALSE
Spirits Unlimited,30 Brick Blvd,Ocean,Nick,732-484-9365,6/18/2024,7/1/2024,"4/3 Nick. Wants 3 cases, 1 Czech, 1 Swell, 1 Vibrant. 4/29 Checked in to see how the beer was doing. Despite Nick giving us a good spot in the fridge, only 1 of each sku had sold. Nick didn't seem bothered though. 5/20- 1 czech and 1 vibrant have sold. Nick says all craft is moving slow. 6/17- Czech sold out, vibrant sold 4/6, and swell sold 0/6.  Nick wants 1LH, 1 Czech, and 1 vibrant",5,TRUE,FALSE
Brick Town Liquors,"111 Lanes Mill Rd, Brick Township, NJ 08724",Ocean,Tyler,848-333-0035,6/20/2024,7/1/2024,"Tyler want's 1LH, 1Swell, and 1Vibrant",5,TRUE,FALSE
Buy Rite,"2678 US-130, Cranbury, NJ 08512",Monmouth,Aroon,,4/17/2024,,"Beer is moving somewhat slowly. So far has sold 2 vibe, 1 swell, and 1 whatcha. Got another social post to try to help. Buyer asked us to promote a beer fest we are not apart of as well. Asks for a lot of marketing help in general. ",5,TRUE,FALSE
The Cellar,"594 River Rd, Fair Haven, NJ 07704",Monmouth,Kitt,,6/11/2024,6/24/2024,Kitt purchased 2 LH and 1 Bloom. 4/19- Kitt purchases 2 LH and 1 Choppy. 5/14- Kitt purchased 2 Choppy and 1 LH.,5,TRUE,FALSE
Max's,"28 Village Center Dr, Freehold, NJ 07728",Monmouth,,,6/13/2024,,Dan told me to match the order I was bringing to the Neptune store for this store as well. Go through him for ordering. ,5,TRUE,FALSE
Poole Ave Bar & Liquors,"745 Poole Ave, Hazlet, NJ 07730",Monmouth,"Owner: David, Craft guy: D-lo",,6/18/2024,,"D-lo wants to bring in one case of swell to see how it does. 5/22- First case sold out, they would like two more.  6/17- D-lo is in tomorrow, still some on the shelf",5,TRUE,FALSE
Glory's Liquors,"580 Cedar Swamp Rd, Jackson Township, NJ 08527",Ocean,Ian,Text-732-496-5340 Email-glorysliquors@gmail,6/18/2024,7/1/2024,They would like 1 Swell and 1 Vibrant,5,TRUE,FALSE
Best Buy Wine & Liquors,"14 NJ-36, Keansburg, NJ 07734",Monmouth,,,6/11/2024,6/19/2024,5/22- They would like 1 Swell and 1 LH. 6/11- Sold 4/6 swell and 2/6 Skeleton ,5,TRUE,FALSE
Wine Academy,1900 NJ-70 #234,Ocean,Shiv,732-248-4189,6/18/2024,7/1/2024,"Shiv is usually in after 11. 4/3, met w/Shiv and he wants 3 cases, 1Swell, 1 LH, and 1 Bloom. Wants me to drop in every 2-3 weeks to see how the beer is doing. 4/23 Beer is moving slowly. Shiv wasn't concerned about it but I'd like to see it going faster. Sold 2 swell, 1 Bloom, and 2 LH in 3 weeks. 5/14 Shiv wants 2 LH and 1 Bloom. 3 Swell and 2 Bloom remain from first order. 5/30- Still have 5 Bloom and 2 LH. Shive wants 1Lh and 1 Czech. Bloom is sitting",5,TRUE,FALSE
Wine Outlet (WIne King),"Manasquan, NJ 08736",Monmouth,,,6/13/2024,7/1/2024,"5/13-Mike would like 1LH, 1Swell, and 1Bloom. 6/13-Beer is on the floor of the fridge and looks like none has sold. ",5,TRUE,FALSE
Matawan Wine & Spirit,"60 Main St, Matawan, NJ 07747",Monmouth,Dave,,6/3/2024,6/24/2024,"Dave would like 1 Swell.6/17- dropped poster for Dave, his guys want me to come back tomorrow with tape to hang the poster. Looks like the beer hasn't moved much, if at all. ",5,TRUE,FALSE
Bottle King,"1126 NJ-35, Middletown Township, NJ 07748",Monmouth,Joe,middletown.beer@bottleking.com,6/18/2024,7/1/2024,"Joe wants 5 cases 1 czech, 1 blk tie, 1 swell, 1 vibrant, 1 bloom. 4/5 Stopped by to check in with Joe. Met briefly, he said the beer was doing fine. 4/30 Stopped by to check-in. Joe wasn't in but it looked like 2 of the blk tie, 1 czech, and a swell had sold. They have us on the bottom shelf of a very large craft section. Got another social post up to try to help boost sales and the new jersey bottle king instagram reposted it. 5/23 Talked with Joe, he didn't say much but thought things will pick up with nicer weather. Down to 1 pack of swell, everything else is sitting. 6/17-Joe wants 3 cases of swell and 3 fourpacks of swell to replace Whatchamalager",5,TRUE,FALSE
Olde Village Pub,"1211 NJ-35, Middletown Township, NJ 07748",Monmouth,Cindy,,6/18/2024,7/1/2024,"5/23 Cindy would like 1 LH, 1 Swell, and 1 Vibrant. She wants LH and Swell tomorrow to have for mem day wknd and vibrant whenever it's ready next week. All on one invoice for discount.  6/17-Cindy wants 1 2LH and 1 Czech. They sold out of LH, swell and vibrant are moving slow",5,TRUE,FALSE
Joe Canal's - Marlboro,"167 US-9, Morganville, NJ 07751",Monmouth,,,6/18/2024,7/1/2024,"Great store, they'd like to start with 1 swell, 1 Skelton, and 1 bloom. Made a point to talk about us swapping things out that don't sell during summer. 5/7- Drop off went smooth, nice store/area. Seems recently remodeled. Buyer asked for us to leave a google review for the store saying they carry BH beer. ",5,TRUE,FALSE
The Sea Crab,"25 S Main St, Neptune Township, NJ 07753",Monmouth,Chris,,6/18/2024,7/1/2024,"4/7 Chris texted asking for a case of swell and vibrant. Drop off went well, he had cleared space for us and was excited to get it in. 4/29 Stopped in to check in. Buyer was out but should be in tomorrow. Looks like 1 vibrant has sold. 4/30 Chris wasn't in. Going to reach out via text to check in. 5/13- Chris would like to do a tasting. Told him we were putting together a schedule and we would reach out soon to get him on it. ",5,TRUE,FALSE
Max's Beer,"116 3rd Ave, Neptune City, NJ 07753",Monmouth,"GM: Venus, Dist Man: Dan",V-732-776-6297,6/13/2024,7/1/2024,Moved through a little less than half of what we sold them. 4/29 1 LH 6pack left. Stop in next week to see if they want to order more. 5/9- LH sold out but 10/12 swell remain. Spoke w/Dan and he said stop back in two weeks and they might re-up. 5/20- Venus said she would talk w/Dan about reupping and reach out. 6/11- Dan wants 2LH and 1Vibrant for both neptune and freehold,5,TRUE,FALSE
